# TinyMPC SDP Obstacle Avoidance Results
# Format: time, pos_x, pos_y, vel_x, vel_y, u_x, u_y
0, -10, 0.1, 0, 0, 0.355176, 0.00289649
1, -9.82241, 0.101448, 0.355176, 0.00289649, 0.280517, 0.00409881
2, -9.32698, 0.106394, 0.635693, 0.00699529, 0.0775357, 0.00925648
3, -8.65252, 0.118018, 0.713229, 0.0162518, -0.309791, 0.0242006
4, -8.09418, 0.14637, 0.403438, 0.0404523, -0.878834, 0.0622486
5, -8.13016, 0.217946, -0.475396, 0.102701, -0.775158, 0.0853064
6, -8.99314, 0.363301, -1.25055, 0.188007, 0.0177078, 0.040168
7, -10.2348, 0.571392, -1.23285, 0.228175, 0.494445, -0.00407406
8, -11.2205, 0.79753, -0.738401, 0.224101, 0.705159, -0.0327752
9, -11.6063, 1.00524, -0.0332418, 0.191326, 0.748843, -0.0471786
10, -11.2651, 1.17298, 0.715601, 0.144148, 0.651334, -0.0422397
11, -10.2238, 1.29601, 1.36694, 0.101908, 0.396587, 0.00360434
12, -8.65861, 1.39972, 1.76352, 0.105512, -0.148323, 0.209027
13, -6.96925, 1.60974, 1.6152, 0.314539, -1, 1
14, -5.85405, 2.42428, 0.6152, 1.31454, -0.43674, 1
15, -5.45722, 4.23882, 0.17846, 2.31454, 0.446047, 0.301746
16, -5.05573, 6.70423, 0.624507, 2.61628, 0.470888, -0.384973
17, -4.19578, 9.12803, 1.09539, 2.23131, 0.364809, -1
18, -2.91798, 10.8593, 1.4602, 1.23131, 0.218788, -1
19, -1.34839, 11.5907, 1.67899, 0.231312, 0.0508892, -1
20, 0.356048, 11.322, 1.72988, -0.768688, -0.122099, -1
21, 2.02488, 10.0533, 1.60778, -1.76869, -0.282877, -0.916894
22, 3.49122, 7.82615, 1.3249, -2.68558, -0.415367, -0.648335
23, 4.60844, 4.8164, 0.909537, -3.33392, -0.506321, -0.314944
24, 5.26482, 1.32501, 0.403216, -3.64886, -0.546643, 0.0499423
25, 5.39471, -2.29888, -0.143427, -3.59892, -0.5323, 0.409834
26, 4.98514, -5.69288, -0.675727, -3.18908, -0.464727, 0.728743
27, 4.07705, -8.5176, -1.14045, -2.46034, -0.350682, 0.974777
28, 2.76125, -10.4906, -1.49114, -1.48556, -0.201568, 1
29, 1.16933, -11.4761, -1.6927, -0.485565, -0.0322979, 1
30, -0.539522, -11.4617, -1.725, 0.514435, 0, 0
