# TinyMPC with Fully Integrated SDP Projections
# Format: time, pos_x, pos_y, vel_x, vel_y, u_x, u_y
0, -10, 0.1, 0, 0, 2, -0.201983
1, -9.00516, -0.000991607, 1.98968, -0.201983, 1.94415, 0.140121
2, -5.94143, 2.0985, 3.93383, -0.0618624, -1.34275, 0.14153
3, -2.76408, -0.539126, 2.59108, 0.0796678, -1.45656, -0.0280547
4, -0.918147, -0.0583712, 1.13452, 0.0516132, -0.767894, -0.0277211
5, -0.167574, -0.0206186, 0.366626, 0.0238921, -0.304253, -0.0156138
6, 0.0469252, -0.00453336, 0.0623726, 0.00827831, -0.084536, -0.00654429
7, 0.0670298, 0.00047281, -0.0221634, 0.00173402, -0.00632895, -0.00198881
8, 0.0417019, 0.00121243, -0.0284923, -0.000254787, 0.0111846, -0.00026474
9, 0.0188019, 0.000825271, -0.0173077, -0.000519526, 0.00963128, 0.000175749
10, 0.00630982, 0.000393619, -0.00767645, -0.000343778, 0.00515344, 0.000182543
11, 0.00121009, 0.000141113, -0.002523, -0.000161235, 0.00206905, 0.000104514
12, -0.000278384, 3.21347e-05, -0.000453951, -5.67216e-05, 0.000587825, 4.43742e-05
13, -0.000438423, -2.39979e-06, 0.000133873, -1.23474e-05, 5.2803e-05, 1.37415e-05
14, -0.000278148, -7.87641e-06, 0.000186676, 1.39414e-06, -7.11391e-05, 1.98834e-06
15, -0.000127042, -5.4881e-06, 0.000115537, 3.38248e-06, -6.36281e-05, -1.09428e-06
16, -4.33191e-05, -2.65276e-06, 5.19088e-05, 2.2882e-06, -3.4565e-05, -1.20076e-06
17, -8.69277e-06, -9.64939e-07, 1.73439e-05, 1.08745e-06, -1.40607e-05, -6.99151e-07
18, 1.62076e-06, -2.27069e-07, 3.28319e-06, 3.88295e-07, -4.08083e-06, -3.0069e-07
19, 2.86354e-06, 1.0881e-08, -7.97637e-07, 8.76046e-08, -4.23812e-07, -9.48258e-08
20, 1.85399e-06, 5.10726e-08, -1.22145e-06, -7.22126e-09, 4.5069e-07, -1.47634e-08
21, 8.5789e-07, 3.64697e-08, -7.70759e-07, -2.19846e-08, 4.19961e-07, 6.76496e-09
22, 2.97111e-07, 1.78676e-08, -3.50799e-07, -1.52197e-08, 2.31695e-07, 7.88973e-09
23, 6.21592e-08, 6.59278e-09, -1.19104e-07, -7.32992e-09, 9.54876e-08, 4.6741e-09
24, -9.20123e-09, 1.59991e-09, -2.36166e-08, -2.65582e-09, 2.82874e-08, 2.03623e-09
25, -1.86741e-08, -3.77873e-11, 4.67079e-09, -6.19583e-10, 3.31133e-09, 6.53526e-10
26, -1.23477e-08, -3.30607e-10, 7.98212e-09, 3.3943e-11, -2.84293e-09, 1.08539e-10
27, -5.78702e-09, -2.42395e-10, 5.13919e-09, 1.42482e-10, -2.77291e-09, -4.14098e-11
28, -2.03428e-09, -1.20618e-10, 2.36628e-09, 1.01072e-10, -1.56518e-09, -5.12633e-11
29, -4.50582e-10, -4.5177e-11, 8.01107e-10, 4.9809e-11, -6.80185e-10, -2.94829e-11
30, 1.04322e-11, -1.01095e-11, 1.20922e-10, 2.03261e-11, 0, 0
